"Mass","Sample3","Sample4","Sample5","Sample6","Sample7","Sample8","Sample9","Sample10","Sample11","Sample12"
"Class","Exos","Exos","Exos","Exos","Exos","Cell","Cell","Cell","Cell","Cell"
626.11,0,0,0,0,0,0,13.08883,0,0,0
627.05,73.81856,55.02476,137.74935,174.46743,293.27714,0,0,0,34.39579,0
628.12,40.59079,22.74266,0,0,73.26572,0,0,0,0,0
635.32,0,0,0,0,0,19.37523,0,25.18805,0,26.68899
637.16333,113.29926,17.95997,0,52.35696,59.79376,0,55.16753,0,43.50227,0
639.44,0,0,12.49913,19.38174,0,0,0,0,0,0
647.85,0,32.48376,0,0,0,0,0,0,0,0
648.45,17.15249,0,0,25.67825,36.76944,0,0,0,0,0
649.40333,0,19.09508,17.95666,0,37.23578,69.64006,0,62.5125,0,50.63322
650.04,0,0,0,0,0,0,45.64554,0,0,0
650.69,0,0,0,152.71046,142.06671,0,0,0,101.02113,0
651.45,0,111.62809,0,0,0,0,39.04369,0,0,0
652.215,56.96873,0,31.78305,0,0,0,13.98494,0,86.34638,0
653.296,85.72895,70.12422,0,79.31152,42.11859,0,0,0,48.73806,0
654.62,0,0,0,31.44848,0,0,0,0,0,0
661.1,0,0,0,0,0,20.19645,0,23.94749,0,0
662.37,0,0,0,0,0,48.74089,50.18067,95.57969,0,44.7486
663.155,172.11226,0,0,0,264.99522,14.33803,136.37071,43.67478,47.0968,0
664.06429,660.96109,1080.7388,1178.74096,1109.17637,1068.52958,0,62.02982,0,184.89396,0
665.142,193.24849,448.77327,0,0,420.15799,11.60098,15.35703,0,0,0
666.1,0,0,0,49.21977,0,0,0,0,0,0
667.27,68.91196,23.69155,44.06619,98.61864,80.65219,0,0,0,43.62014,0
669.64,40.73444,77.65812,164.97156,70.4922,91.08462,0,0,0,0,0
670.69,0,43.78314,56.51727,23.19292,47.82332,0,0,0,0,0
671.92,13.26799,0,29.52383,21.53682,48.58997,0,0,0,0,0
675.16,0,0,0,0,0,29.92438,0,31.79324,0,34.09599
676.82222,21.35727,51.11298,44.64987,0,31.82102,24.64794,42.62833,67.44771,74.0742,46.76451
678.07,17.31266,0,0,0,0,0,0,0,0,0
679.42143,53.39958,61.78318,79.3144,146.80276,229.1296,0,31.49348,0,95.15683,0
681.2,0,0,22.89243,24.24224,26.52328,0,0,0,0,0
683.15,14.57989,0,0,16.178,0,0,0,0,0,0
685.28,0,0,0,0,17.15062,0,0,0,0,0
689.05,0,0,0,0,0,0,0,36.68152,0,47.54295
690.08,15.84701,0,0,26.02284,28.14344,0,0,0,0,0
691.2125,18.41047,18.31733,21.24285,0,24.3947,15.06055,0,107.25212,30.28918,94.08041
693.22143,49.69436,21.7814,43.50662,46.47269,57.95322,0,37.92199,0,91.70661,0
695.12,27.3868,0,0,42.75055,48.57523,0,0,0,35.93596,0
702.28,80.6914,276.07004,127.16002,71.92755,83.05,30.93121,0,79.15499,0,110.74696
704.16,0,0,565.18658,473.53722,539.9251,0,0,0,0,0
704.9275,360.47999,568.60164,256.07675,0,0,55.4113,71.1946,139.89699,247.95693,222.24622
706.54,0,105.71237,0,0,0,0,0,0,0,0
707.30286,113.75754,123.69854,132.03085,125.09941,213.0452,0,37.43626,0,232.41294,0
708.14,49.40435,0,63.50774,0,54.87614,0,0,0,0,0
708.8,0,34.92739,0,0,0,0,0,0,0,0
712.03,11.22394,0,0,0,0,0,0,0,0,0
715.73,0,0,0,0,0,0,0,0,0,52.86776
717.34333,0,0,0,23.02084,0,102.24631,23.04807,522.98186,41.96979,299.2105
718.676,50.70215,70.70579,74.11307,0,0,0,291.67699,288.614,0,0
719.81,0,0,0,0,0,61.93798,176.4337,229.7609,0,321.97316
720.9575,276.69311,147.86445,204.03241,127.75056,236.56903,0,274.48974,26.63704,300.7216,0
723.12,29.5207,17.12794,0,0,0,0,29.59147,0,0,0
724.54,8.64892,0,0,0,0,0,0,0,0,0
730.11,15.24425,30.07324,19.02809,14.9647,17.17213,23.97242,20.06693,74.42163,75.13204,125.71403
732.396,53.69859,98.83167,150.19271,163.38948,177.86099,376.11054,396.96579,1175.53208,371.50553,1436.03535
733.54,0,0,0,0,0,178.54347,0,0,0,0
734.21333,209.43332,107.38957,139.41435,146.10425,291.41207,0,84.05929,175.70937,546.69333,286.28629
735.17,0,232.97935,0,93.80031,0,0,0,61.26715,366.1271,0
736.35,17.34561,74.23119,0,0,0,0,0,0,0,33.42831
737.38,0,15.96107,0,0,0,0,0,0,0,0
742.43,0,0,0,0,0,0,0,20.13449,0,30.85483
744.68,14.02072,18.23986,0,0,24.54017,98.94647,155.85531,317.47628,280.38388,409.3553
746.518,303.97553,306.93855,282.68073,135.61065,257.88142,278.49875,693.33078,973.23223,690.1811,980.77566
747.58,0,0,147.70082,97.30669,0,0,0,0,0,0
748.2,193.97665,0,0,0,0,0,277.6245,0,584.13835,470.1611
749.08,64.28258,109.68252,32.66808,0,41.28959,59.0002,0,206.46053,0,0
750.075,0,30.64931,0,0,0,0,0,33.45112,35.26575,40.5046
758.48778,36.28607,116.34903,71.31793,68.6941,79.39233,228.74092,0,619.86775,765.40071,1010.74905
759.55,303.23424,0,706.52104,0,0,0,0,0,0,0
761.029,116.98763,436.37645,169.14722,685.63642,883.77295,899.32754,1032.7597,1758.32882,2187.20867,2447.28639
763.1125,0,111.1985,44.51162,42.86889,0,213.01016,209.46425,448.29742,414.40341,1445.34007
766.62,14.11919,0,0,0,0,25.69847,19.5059,34.22157,62.35937,64.92506
769.316,0,0,0,0,0,19.09669,24.02228,90.36373,109.74307,97.40589
771.335,0,0,0,0,39.97717,13.1397,32.73989,68.96911,82.26397,75.2865
773.42286,0,29.73211,73.29467,0,0,77.68425,224.83738,390.09027,436.22601,390.56753
774.61,78.98495,77.71023,0,65.07606,0,0,158.42477,0,0,0
775.324,0,45.99989,37.8046,0,42.56779,0,0,0,167.67172,178.86628
776.21,0,0,30.4488,0,0,72.4301,40.3803,82.64818,0,73.6272
777.02,0,25.67756,0,0,0,0,0,0,67.06468,0
780.7325,10.17343,16.9544,0,0,0,0,13.00762,0,40.15628,0
782.01,19.35448,0,0,0,19.46478,0,0,0,0,0
782.87,0,71.17017,0,0,0,0,0,0,26.55589,29.05704
783.56,0,26.39288,0,0,0,0,0,0,0,0
785.116,0,0,0,63.56417,0,0,55.2139,114.39001,179.55603,183.43613
786.58,107.03302,224.69988,172.25221,0,146.19019,37.15235,640.64159,1305.12424,1698.41461,1677.10661
788.235,235.3022,0,592.1287,610.7208,829.6512,291.5973,0,868.0459,1174.43633,938.07395
789.46,0,386.29904,0,0,0,0,217.04065,109.25143,0,0
790.312,0,106.37454,78.83567,0,0,262.03402,0,0,76.1863,215.46141
792.55,0,18.48064,0,0,0,74.15243,24.9402,0,72.48746,72.94626
793.345,0,0,0,0,0,22.68823,0,55.92161,0,0
794.70625,56.05136,0,34.69443,25.97288,28.91117,0,75.18047,57.7951,88.4159,86.6477
795.72,0,0,0,0,0,0,0,0,0,30.03393
796.5,0,0,0,20.86079,14.60502,0,0,0,0,0
799.0375,0,23.77002,0,14.76283,15.12827,17.87256,0,0,0,0
801.41714,19.60388,0,0,19.07725,29.03713,0,21.17094,46.29332,36.07037,54.23435
802.72,0,20.87699,17.71003,15.83778,21.63998,0,0,0,0,0
804.63,14.69822,0,0,12.27845,18.6221,12.36139,0,0,0,0
806.554,0,69.22023,45.5973,0,45.18078,0,0,0,35.03152,26.95647
808.57,114.5096,157.07476,86.07783,109.70429,0,0,35.19522,40.57515,76.89423,55.93661
809.42,0,0,0,44.9506,90.61855,0,0,0,54.87483,0
810.62,0,127.64271,74.86902,0,0,0,0,0,0,0
811.66,47.27026,87.12857,76.09815,0,62.40843,0,0,0,0,0
812.86,0,0,0,0,0,0,0,0,50.35586,0
813.876,112.49989,196.38248,171.53556,158.86962,171.60299,50.77935,75.40931,81.022,216.62299,165.53898
815.278,0,0,0,100.2146,114.99084,0,0,79.1261,114.30041,108.03482
817.9,19.61694,39.70838,0,0,0,0,0,0,27.51803,0
819.61,0,0,0,0,0,33.66431,0,0,0,0
820.528,15.19576,0,0,0,24.81897,26.23669,11.22927,26.23298,0,0
822.55,15.09675,15.71942,0,13.78774,0,15.89965,0,0,0,0
834.69429,29.50776,95.59064,66.20473,45.738,62.5604,0,13.37895,0,38.26914,0
836.59,0,93.52045,0,64.99469,37.51066,0,0,0,0,0
837.395,39.72469,0,0,0,28.53895,0,0,0,0,0
838.23,0,0,18.45779,0,0,10.36964,0,0,0,0
838.85,0,24.46901,0,0,0,0,0,0,0,0
843.67,0,12.78656,13.23119,0,0,0,0,0,0,0
862.1,14.86627,0,0,0,0,0,0,0,0,0
881.67,0,0,0,0,13.10105,0,0,0,0,0
901.56,0,0,0,0,14.71472,0,13.26483,0,0,37.49636
903.47,0,15.37648,0,18.51136,0,0,16.40439,39.13815,59.60834,38.31896
907.68,0,0,0,0,0,10.07303,0,0,0,0
909.01,0,0,0,0,0,16.58519,0,0,0,0
929.442,8.23824,0,0,0,0,0,11.09517,31.36304,57.87342,30.96329
947.63,12.0483,23.33421,34.48834,25.96768,0,0,0,0,0,0
948.62,0,12.33027,0,0,0,0,0,0,0,0
